LOCO_TYPE,LOCO_NUMBER,YEAR,Availability_Days,Train_kms,Train_km_per_day,Failures_in_section,Reliabilty,Days_before_failure
2,34853,2022,165,29593,1391,81,18869,127
2,34226,2022,128,16735,1349,84,7363,97
2,34612,2022,83,10446,758,59,9556,81
2,34825,2022,101,20019,1048,49,11193,80
2,34851,2022,34,34,34,34,34,34
2,34840,2022,92,17005,1061,45,10164,69
2,3021,2022,214,36383,1558,118,31567,198
2,3013,2022,214,41751,1662,108,41751,216
2,3012,2022,207,41122,1595,97,41122,208
2,3018,2022,3071,17997,4077,3025,17997,3052
1,1022,2022,105,16236,940,36,16236,93
1,1007,2022,130,19332,1072,60,13934,107
1,1015,2022,76,15163,1067,32,13047,63
1,1004,2022,130,19671,1176,60,12650,94
1,1056,2022,64,6066,768,41,6066,58
1,1036,2022,125,22336,1334,75,13900,84
1,1003,2022,104,17015,1111,56,10193,80
1,1051,2022,78,17096,1095,31,15034,64
1,1044,2022,67,7809,1114,37,7809,64
1,1041,2022,63,4781,799,49,3434,55
1,1002,2022,63,18058,787,21,18058,63
1,2109,2022,147,25237,1225,66,22727,133
1,2105,2022,117,19415,1183,60,9458,86
1,2104,2022,152,27126,1199,62,23189,133
1,2103,2022,73,11170,603,41,3373,44
1,2102,2022,155,26259,1314,80,14647,113
1,1601,2022,6,209,209,5,209,6
1,1606,2022,11,1233,681,7,888,9
1,1602,2022,14,1619,237,7,1619,14
2,34226,2023,219,62387,3108,17,41782,154
2,34612,2023,112,31675,1719,8,30221,86
2,34840,2023,222,65788,3241,9,63460,201
2,34825,2023,91,24666,1394,7,20970,73
2,34853,2023,231,68011,3310,15,59843,190
2,34806,2023,90,27221,2264,5,27221,79
2,37096,2023,134,40145,2104,10,40145,124
2,3013,2023,238,77922,3470,4,77922,238
2,3012,2023,248,81328,3333,4,81328,248
2,3018,2023,41,10563,1273,2,9701,38
2,3021,2023,234,73216,2872,1,73216,231
1,1007,2023,228,59427,2881,16,42711,166
1,1015,2023,149,42897,2642,16,33860,103
1,1004,2023,79,17970,1768,11,16994,48
1,1056,2023,168,41889,2787,13,41889,158
1,1036,2023,142,32786,2620,11,29972,121
1,1003,2023,14,3785,270,2,1893,7
1,1051,2023,175,45885,2759,11,44446,154
1,1044,2023,143,35528,2696,14,33331,124
1,1041,2023,135,36186,2858,9,33164,132
1,1002,2023,188,57245,3366,13,45161,147
1,2105,2023,190,57042,2791,6,53784,180
1,2104,2023,207,65950,3265,15,63841,188
1,2103,2023,10,2732,273,3,2732,3
1,2102,2023,189,56819,3077,13,53489,178
1,2109,2023,207,65300,3434,16,61102,168
2,34226,2024,6,1604,267,1,1604,6
2,34612,2024,21,5649,269,1,5649,21
2,34840,2024,7,1888,270,0,1888,7
2,34853,2024,8,2319,290,3,773,3
2,34806,2024,24,7048,294,1,7048,24
2,37096,2024,29,8543,295,0,8543,29
2,3013,2024,21,6969,332,0,6969,21
2,3012,2024,24,6892,287,6,1149,4
2,3018,2024,16,5358,335,1,5358,16
2,3021,2024,20,5896,295,3,1965,7
1,1007,2024,26,5876,226,0,5876,26
1,1015,2024,16,5046,315,1,5046,16
1,1004,2024,12,2669,222,1,2669,12
1,1036,2024,20,3659,183,0,3659,20
1,1051,2024,19,3620,191,0,3620,19
1,1044,2024,19,3387,178,0,3387,19
1,1041,2024,22,4981,226,0,4981,22
1,1002,2024,15,3958,264,3,3958,5
1,2105,2024,18,4249,236,1,4249,18
1,2104,2024,21,5099,243,0,5099,21
1,2103,2024,10,2956,296,3,2956,10
1,2102,2024,18,4866,270,1,0,18
1,2109,2024,13,3636,280,0,6884,13
